DATE,TAVG,TMAX,TMIN
1999-01-01,14,22,6
1999-01-02,22,26,18
1999-01-03,16,26,5
1999-01-04,-2,5,-9
1999-01-05,1,18,-16
1999-01-06,12,21,2
1999-01-07,1,9,-7
1999-01-08,16,22,9
1999-01-09,4,12,-4
1999-01-10,6,14,-2
1999-01-11,5,13,-3
1999-01-12,20,28,11
1999-01-13,20,24,16
1999-01-14,18,20,16
1999-01-15,23,30,16
1999-01-16,30,40,20
1999-01-17,28,41,14
1999-01-18,29,36,22
1999-01-19,27,34,19
1999-01-20,30,41,19
1999-01-21,37,41,32
1999-01-22,42,46,38
1999-01-23,39,44,33
1999-01-24,33,35,31
1999-01-25,28,34,22
1999-01-26,29,39,18
1999-01-27,42,49,34
1999-01-28,33,34,31
1999-01-29,33,39,26
1999-01-30,34,44,24
1999-01-31,36,40,32
1999-02-01,40,44,35
1999-02-02,38,42,33
1999-02-03,41,46,35
1999-02-04,31,41,20
1999-02-05,31,43,19
1999-02-06,40,46,33
1999-02-07,33,37,28
1999-02-08,37,48,26
1999-02-09,44,54,33
1999-02-10,44,60,28
1999-02-11,49,70,28
1999-02-12,23,31,14
1999-02-13,23,32,14
1999-02-14,34,47,21
1999-02-15,45,55,34
1999-02-16,39,46,31
1999-02-17,27,31,23
1999-02-18,29,37,20
1999-02-19,28,32,24
1999-02-20,25,30,19
1999-02-21,28,34,22
1999-02-22,26,32,20
1999-02-23,29,34,24
1999-02-24,27,35,18
1999-02-25,33,37,28
1999-02-26,36,47,24
1999-02-27,43,48,38
1999-02-28,37,40,34
1999-03-01,38,45,31
1999-03-02,37,44,29
1999-03-03,31,35,26
1999-03-04,30,37,22
1999-03-05,35,39,30
1999-03-06,25,30,20
1999-03-07,21,26,15
1999-03-08,24,30,18
1999-03-09,29,31,27
1999-03-10,29,34,24
1999-03-11,28,35,20
1999-03-12,27,37,16
1999-03-13,28,36,19
1999-03-14,32,38,25
1999-03-15,31,41,20
1999-03-16,43,51,34
1999-03-17,50,59,41
1999-03-18,38,46,29
1999-03-19,36,44,28
1999-03-20,39,53,24
1999-03-21,38,46,30
1999-03-22,36,45,27
1999-03-23,38,53,22
1999-03-24,35,43,27
1999-03-25,32,38,25
1999-03-26,35,44,26
1999-03-27,41,57,24
1999-03-28,43,54,31
1999-03-29,48,62,34
1999-03-30,55,72,38
1999-03-31,60,71,48
1999-04-01,58,62,53
1999-04-02,64,75,53
1999-04-03,63,73,52
1999-04-04,56,67,44
1999-04-05,50,60,40
1999-04-06,53,60,45
1999-04-07,55,77,33
1999-04-08,55,63,47
1999-04-09,45,50,40
1999-04-10,47,56,38
1999-04-11,46,51,40
1999-04-12,45,56,34
1999-04-13,50,61,38
1999-04-14,49,61,36
1999-04-15,49,54,44
1999-04-16,44,46,42
1999-04-17,44,49,39
1999-04-18,42,45,38
1999-04-19,42,52,31
1999-04-20,45,56,33
1999-04-21,54,61,46
1999-04-22,48,51,44
1999-04-23,43,48,38
1999-04-24,44,53,34
1999-04-25,48,63,33
1999-04-26,51,64,38
1999-04-27,50,53,46
1999-04-28,51,58,44
1999-04-29,53,62,42
1999-04-30,51,64,38
1999-05-01,56,72,39
1999-05-02,58,73,42
1999-05-03,64,78,49
